iter	Passed	Remaining
468	690	782
469	691	779
470	692	777
471	693	775
472	694	773
473	695	771
474	696	769
475	697	767
476	698	765
477	698	763
478	699	761
479	700	759
480	701	757
481	702	755
482	703	753
483	704	751
484	705	749
485	706	747
486	707	745
487	708	743
488	709	741
489	710	739
490	711	737
491	712	735
492	713	733
493	714	731
494	715	730
495	716	728
496	717	726
497	718	724
498	719	722
499	720	720
500	721	718
501	722	716
502	723	715
503	724	713
504	725	711
505	726	709
506	728	707
507	729	706
508	730	704
509	730	702
510	731	700
511	732	698
512	734	696
513	735	695
514	736	693
515	737	691
516	738	689
517	739	687
518	740	685
519	741	684
520	742	682
521	743	680
522	744	678
523	745	676
524	746	675
525	747	673
526	748	671
527	749	669
528	750	667
529	751	666
530	752	664
531	753	663
532	754	661
533	755	659
534	756	657
535	757	656
536	758	654
537	759	652
538	760	650
539	761	649
540	763	647
541	764	645
542	765	644
543	766	642
544	767	640
545	768	638
546	769	637
547	770	635
548	771	633
549	772	632
550	773	630
551	774	628
552	775	627
553	776	625
554	777	623
555	778	621
556	779	620
557	780	618
558	781	616
559	782	615
560	783	613
561	784	611
562	785	609
563	786	608
564	787	606
565	788	604
566	789	603
567	790	601
568	791	599
569	792	598
570	793	596
571	794	594
572	795	592
573	796	591
574	797	589
575	798	587
576	799	586
577	800	584
578	801	582
579	802	581
580	803	579
581	804	577
582	805	576
583	806	574
584	807	572
585	808	571
586	809	569
587	810	567
588	811	566
589	812	564
590	813	562
591	814	561
592	814	559
593	815	557
594	816	556
595	817	554
596	818	552
597	819	550
598	820	549
599	821	547
600	822	545
601	823	544
602	823	542
603	824	540
604	825	539
605	826	537
606	827	535
607	828	534
608	829	532
609	830	530
610	831	529
611	831	527
612	832	525
613	833	524
614	834	522
615	835	520
616	836	519
617	837	517
618	838	516
619	839	514
620	840	512
621	840	511
622	841	509
623	842	507
624	843	506
625	844	504
626	844	502
627	845	500
628	846	499
629	847	497
630	848	496
631	849	494
632	850	493
633	851	491
634	852	489
635	853	488
636	854	486
637	854	485
638	855	483
639	856	481
640	857	480
641	858	478
642	859	477
643	860	475
644	861	474
645	862	472
646	863	470
647	863	469
648	864	467
649	865	466
650	866	464
651	867	463
652	868	461
653	869	459
654	870	458
655	870	456
656	871	455
657	872	453
658	873	452
659	874	450
660	875	449
661	876	447
662	877	445
663	878	444
664	879	442
665	880	441
666	880	439
667	881	438
668	882	436
669	883	435
670	884	433
671	885	432
672	886	430
673	887	429
674	887	427
675	888	425
676	889	424
677	890	422
678	891	421
679	892	419
680	893	418
681	894	416
682	894	415
683	895	413
684	896	412
685	897	410
686	898	409
687	899	407
688	900	406
689	901	404
690	901	403
691	902	401
692	903	400
693	904	398
694	905	397
695	906	395
696	907	394
697	908	392
698	908	391
699	909	389
700	910	388
701	911	386
702	912	385
703	913	384
704	914	382
705	915	381
706	916	379
707	917	378
708	918	376
709	918	375
710	919	373
711	920	372
712	921	370
713	922	369
714	923	368
715	924	366
716	925	365
717	925	363
718	926	362
719	927	360
720	928	359
721	929	357
722	930	356
723	931	354
724	932	353
725	933	352
726	934	350
727	934	349
728	935	347
729	936	346
730	937	345
731	938	343
732	939	342
733	940	340
734	941	339
735	942	337
736	943	336
737	944	335
738	944	333
739	946	332
740	947	331
741	947	329
742	948	328
743	949	326
744	950	325
745	951	324
746	952	322
747	953	321
748	954	319
749	955	318
750	956	316
751	956	315
752	957	314
753	958	312
754	959	311
755	960	310
756	961	308
757	962	307
758	963	305
759	964	304
760	965	303
761	966	301
762	966	300
763	967	299
764	968	297
765	969	296
766	970	294
767	971	293
768	972	292
769	973	290
770	974	289
771	974	287
772	975	286
773	976	285
774	977	283
775	978	282
776	979	281
777	980	279
778	981	278
779	982	276
780	982	275
781	983	274
782	984	272
783	985	271
784	986	270
785	987	268
786	988	267
787	988	266
788	989	264
789	990	263
790	991	262
791	992	260
792	993	259
793	994	257
794	995	256
795	995	255
796	996	253
797	997	252
798	998	251
799	999	249
800	1000	248
801	1001	247
802	1001	245
803	1002	244
804	1003	243
805	1004	241
806	1005	240
807	1006	239
808	1007	237
809	1008	236
810	1009	235
811	1010	233
812	1011	232
813	1012	231
814	1013	230
815	1014	228
816	1015	227
817	1015	226
818	1017	224
819	1018	223
820	1019	222
821	1020	220
822	1021	219
823	1022	218
824	1023	217
825	1024	215
826	1025	214
827	1026	213
828	1027	211
829	1028	210
830	1029	209
831	1030	208
832	1031	206
833	1032	205
834	1034	204
835	1035	203
836	1036	201
837	1037	200
838	1038	199
839	1039	197
840	1040	196
841	1041	195
842	1042	194
843	1043	192
844	1044	191
845	1045	190
846	1046	189
847	1047	187
848	1048	186
849	1049	185
850	1050	183
851	1051	182
852	1052	181
853	1053	180
854	1054	178
855	1055	177
856	1056	176
857	1057	175
858	1058	173
859	1059	172
860	1060	171
861	1061	169
862	1062	168
863	1063	167
864	1064	166
865	1065	164
866	1066	163
867	1066	162
868	1067	160
869	1068	159
870	1069	158
871	1070	157
872	1071	155
873	1072	154
874	1073	153
875	1074	152
876	1075	150
877	1076	149
878	1077	148
879	1077	146
880	1078	145
881	1079	144
882	1080	143
883	1081	141
884	1082	140
885	1083	139
886	1084	138
887	1085	136
888	1086	135
889	1087	134
890	1089	133
891	1090	131
892	1091	130
893	1092	129
894	1093	128
895	1094	127
896	1095	125
897	1096	124
898	1097	123
899	1098	122
900	1099	120
901	1100	119
902	1101	118
903	1102	117
904	1103	115
905	1104	114
906	1105	113
907	1106	112
908	1107	110
909	1108	109
910	1109	108
911	1110	107
912	1111	105
913	1111	104
914	1112	103
915	1113	102
916	1114	100
917	1115	99
918	1116	98
919	1117	97
920	1118	95
921	1119	94
922	1120	93
923	1121	92
924	1122	90
925	1123	89
926	1124	88
927	1124	87
928	1125	86
929	1126	84
930	1127	83
931	1128	82
932	1129	81
933	1130	79
934	1130	78
935	1131	77
936	1132	76
937	1133	74
938	1134	73
939	1135	72
940	1136	71
941	1137	70
942	1138	68
943	1138	67
944	1139	66
945	1140	65
946	1141	63
947	1142	62
948	1143	61
949	1144	60
950	1145	59
951	1146	57
952	1147	56
953	1147	55
954	1148	54
955	1149	52
956	1150	51
957	1151	50
958	1152	49
959	1153	48
960	1154	46
961	1155	45
962	1156	44
963	1157	43
964	1158	42
965	1159	40
966	1160	39
967	1161	38
968	1162	37
969	1162	35
970	1163	34
971	1164	33
972	1165	32
973	1166	31
974	1167	29
975	1168	28
976	1169	27
977	1169	26
978	1170	25
979	1171	23
980	1172	22
981	1173	21
982	1174	20
983	1175	19
984	1175	17
985	1176	16
986	1177	15
987	1178	14
988	1179	13
989	1180	11
990	1181	10
991	1181	9
992	1182	8
993	1183	7
994	1184	5
995	1185	4
996	1186	3
997	1187	2
998	1188	1
999	1188	0
